File name,Package name,File size,Package size,File size in package (%),File size in system (%)
usr/bin/ssh-keygen,openssh,600120,6448910,9.3,4.1
usr/bin/ssh-keyscan,openssh,579768,6448910,9.0,3.9
etc/group,skeleton-init-common,306,16083,1.9,0.0
etc/hosts,skeleton-init-common,40,16083,0.2,0.0
etc/passwd,skeleton-init-common,340,16083,2.1,0.0
etc/protocols,skeleton-init-common,2744,16083,17.1,0.0
etc/services,skeleton-init-common,10873,16083,67.6,0.1
etc/shadow,skeleton-init-common,135,16083,0.8,0.0
etc/profile.d/umask.sh,skeleton-init-common,10,16083,0.1,0.0
etc/profile,skeleton-init-common,299,16083,1.9,0.0
THIS_IS_NOT_YOUR_ROOT_FILESYSTEM,skeleton-init-common,1336,16083,8.3,0.0
etc/fstab,skeleton-init-sysv,334,334,100.0,0.0
etc/nsswitch.conf,toolchain,230,230,100.0,0.0
etc/init.d/S20seedrng,urandom-scripts,1243,1243,100.0,0.0
